site,date,pv,uv,organic_traffic
Site B,2024-06-01,8000,5200,4400
Site B,2024-06-02,8000,5200,4400
Site B,2024-06-03,8000,5200,4400
Site B,2024-06-04,8000,5200,4400
Site B,2024-06-05,8000,5200,4400
Site B,2024-06-06,8000,5200,4400
Site B,2024-06-07,8000,5200,4400
Site B,2024-06-08,8000,5200,4400
Site B,2024-06-09,8000,5200,4400
Site B,2024-06-10,8000,5200,4400
Site B,2024-06-11,8000,5200,4400
Site B,2024-06-12,8000,5200,4400
Site B,2024-06-13,8000,5200,4400
Site B,2024-06-14,8000,5200,4400
Site B,2024-06-15,8000,5200,4400
Site B,2024-06-16,8000,5200,4400
Site B,2024-06-17,8000,5200,4400
Site B,2024-06-18,8000,5200,4400
Site B,2024-06-19,8000,5200,4400
Site B,2024-06-20,8000,5200,4400
Site B,2024-06-21,8000,5200,4400
Site B,2024-06-22,8000,5200,4400
Site B,2024-06-23,8000,5200,4400
Site B,2024-06-24,8000,5200,4400
Site B,2024-06-25,8000,5200,4400
Site B,2024-06-26,8000,5200,4400
Site B,2024-06-27,8000,5200,4400
Site B,2024-06-28,8000,5200,4400
Site B,2024-06-29,8000,5200,4400
Site B,2024-06-30,8000,5200,4400
Site B,2024-07-01,8000,5200,4400
Site B,2024-07-02,8041,5226,4422
Site B,2024-07-03,8083,5253,4445
Site B,2024-07-04,8124,5280,4468
Site B,2024-07-05,8166,5307,4491
Site B,2024-07-06,8207,5334,4513
Site B,2024-07-07,8248,5361,4536
Site B,2024-07-08,8290,5388,4559
Site B,2024-07-09,8331,5415,4582
Site B,2024-07-10,8372,5441,4604
Site B,2024-07-11,8414,5469,4627
Site B,2024-07-12,8455,5495,4650
Site B,2024-07-13,8497,5523,4673
Site B,2024-07-14,8538,5549,4695
Site B,2024-07-15,8579,5576,4718
Site B,2024-07-16,8621,5603,4741
Site B,2024-07-17,8662,5630,4764
Site B,2024-07-18,8703,5656,4786
Site B,2024-07-19,8745,5684,4809
Site B,2024-07-20,8786,5710,4832
Site B,2024-07-21,8828,5738,4855
Site B,2024-07-22,8869,5764,4877
Site B,2024-07-23,8910,5791,4900
Site B,2024-07-24,8952,5818,4923
Site B,2024-07-25,8993,5845,4946
Site B,2024-07-26,9034,5872,4968
Site B,2024-07-27,9076,5899,4991
Site B,2024-07-28,9117,5926,5014
Site B,2024-07-29,9159,5953,5037
Site B,2024-07-30,9200,5980,5060
Site C,2024-06-01,6000,3900,3300
Site C,2024-06-02,6000,3900,3300
Site C,2024-06-03,6000,3900,3300
Site C,2024-06-04,6000,3900,3300
Site C,2024-06-05,6000,3900,3300
Site C,2024-06-06,6000,3900,3300
Site C,2024-06-07,6000,3900,3300
Site C,2024-06-08,6000,3900,3300
Site C,2024-06-09,6000,3900,3300
Site C,2024-06-10,6000,3900,3300
Site C,2024-06-11,6000,3900,3300
Site C,2024-06-12,6000,3900,3300
Site C,2024-06-13,6000,3900,3300
Site C,2024-06-14,6000,3900,3300
Site C,2024-06-15,6000,3900,3300
Site C,2024-06-16,6000,3900,3300
Site C,2024-06-17,6000,3900,3300
Site C,2024-06-18,6000,3900,3300
Site C,2024-06-19,6000,3900,3300
Site C,2024-06-20,6000,3900,3300
Site C,2024-06-21,6000,3900,3300
Site C,2024-06-22,6000,3900,3300
Site C,2024-06-23,6000,3900,3300
Site C,2024-06-24,6000,3900,3300
Site C,2024-06-25,6000,3900,3300
Site C,2024-06-26,6000,3900,3300
Site C,2024-06-27,6000,3900,3300
Site C,2024-06-28,6000,3900,3300
Site C,2024-06-29,6000,3900,3300
Site C,2024-06-30,6000,3900,3300
Site C,2024-07-01,6000,3900,3300
Site C,2024-07-02,5990,3893,3294
Site C,2024-07-03,5979,3886,3288
Site C,2024-07-04,5969,3879,3282
Site C,2024-07-05,5959,3873,3277
Site C,2024-07-06,5948,3866,3271
Site C,2024-07-07,5938,3859,3265
Site C,2024-07-08,5928,3853,3260
Site C,2024-07-09,5917,3846,3254
Site C,2024-07-10,5907,3839,3248
Site C,2024-07-11,5897,3833,3243
Site C,2024-07-12,5886,3825,3237
Site C,2024-07-13,5876,3819,3231
Site C,2024-07-14,5866,3812,3226
Site C,2024-07-15,5855,3805,3220
Site C,2024-07-16,5845,3799,3214
Site C,2024-07-17,5834,3792,3208
Site C,2024-07-18,5824,3785,3203
Site C,2024-07-19,5814,3779,3197
Site C,2024-07-20,5803,3771,3191
Site C,2024-07-21,5793,3765,3186
Site C,2024-07-22,5783,3758,3180
Site C,2024-07-23,5772,3751,3174
Site C,2024-07-24,5762,3745,3169
Site C,2024-07-25,5752,3738,3163
Site C,2024-07-26,5741,3731,3157
Site C,2024-07-27,5731,3725,3152
Site C,2024-07-28,5721,3718,3146
Site C,2024-07-29,5710,3711,3140
Site C,2024-07-30,5700,3705,3135
